row_id,microbusiness_density_AR,microbusiness_density_MA,microbusiness_density_ARMA,microbusiness_density_ARIMA,microbusiness_density_Lin,microbusiness_density_Lasso,microbusiness_density_Ridge
1029_2022-11-01,1.2747255791730956,1.2745012830020477,1.2745012830020477,1.3563678441241598,1.3555517,1.3555517,1.3555517
1031_2022-11-01,2.0901208244959197,2.092364160509984,2.092364160509984,2.3195840264237977,2.2163165,2.2163165,2.2163165
1033_2022-11-01,2.297498964974303,2.298768133426472,2.298768133426472,2.560144883947616,2.441494,2.441494,2.441494
1035_2022-11-01,1.06882422947699,1.096996179848922,1.096996179848922,0.883774803651393,1.095947,1.095947,1.095947
1037_2022-11-01,0.6533237891155079,0.6542438989386116,0.6542438989386116,0.8847752116066029,0.82838911,0.82838911,0.82838911
1039_2022-11-01,1.6521332359948602,1.605692683549651,1.605692683549651,1.6813352904249763,1.6845804,1.6845804,1.6845804
1041_2022-11-01,1.0070777736119163,1.007603923917176,1.007603923917176,0.7003252517585961,1.0612549,1.0612549,1.0612549
1043_2022-11-01,2.5281477752916865,2.5296277697990988,2.5296277697990988,2.7326069486817786,2.6872737,2.6872737,2.6872737
1045_2022-11-01,1.5722057353031538,1.5722057353031538,1.5722057353031538,1.7595617,1.7595617,1.7595617,1.7595617
1047_2022-11-01,1.4586366770831352,1.316561314965275,1.316561314965275,1.5401222408648805,1.4739386,1.4739386,1.4739386
1049_2022-11-01,2.228273493000872,2.2355779309188537,2.2355779309188537,2.294097374256181,2.2713821,2.2713821,2.2713821
1051_2022-11-01,3.187271071572509,2.9167176793012706,2.9167176793012706,3.382241827905647,3.2452056,3.2452056,3.2452056
1053_2022-11-01,1.713777024049404,1.7147808058166845,1.7147808058166845,2.080967172985704,1.948416,1.948416,1.948416
1055_2022-11-01,2.394731692347868,2.3982415606593457,2.3982415606593457,2.949592139568842,2.7364635,2.7364635,2.7364635
1057_2022-11-01,1.191021790907944,1.3732367642661034,1.3732367642661034,1.0410741002554649,1.0514109,1.0514109,1.0514109
1059_2022-11-01,1.6788415983650404,1.6846500151895762,1.6846500151895762,1.921696567136684,1.9323264,1.9323264,1.9323264
1061_2022-11-01,1.3360415542404454,1.337836721936362,1.337836721936362,1.4441490467621547,1.4523023,1.4523023,1.4523023
1063_2022-11-01,1.269759222142306,1.269759222142306,1.269759222142306,1.4407436,1.4407436,1.4407436,1.4407436
1065_2022-11-01,0.998119562097556,0.998119562097556,0.998119562097556,1.1825964,1.1825964,1.1825964,1.1825964
1067_2022-11-01,2.527932048431446,2.5983312149755027,2.5983312149755027,2.379075023089052,2.4543042,2.4543042,2.4543042
1069_2022-11-01,3.4313051170052957,3.4279298038276567,3.4279298038276567,3.434929196565617,3.4243109,3.4243109,3.4243109
1071_2022-11-01,1.6929296479570923,1.6488043546670488,1.6488043546670488,1.8277529159322017,1.7799511,1.7799511,1.7799511
1073_2022-11-01,6.385594750382662,6.277067109513451,6.277067109513451,6.496829813011693,6.5080609,6.5080609,6.5080609
1075_2022-11-01,0.8542437728125445,0.8542437728125445,0.8542437728125445,0.93406087,0.93406087,0.93406087,0.93406087
1077_2022-11-01,4.248755645765398,4.248755645765398,4.248755645765398,4.0402412,4.0402412,4.0402412,4.0402412
1079_2022-11-01,1.271894431429892,1.2736454758642548,1.2736454758642548,1.3798333779476897,1.3549086,1.3549086,1.3549086
1081_2022-11-01,3.930522105881874,3.894028943918103,3.894028943918103,4.136460852069283,4.0300627,4.0300627,4.0300627
1083_2022-11-01,2.897044982528098,2.890420053471307,2.890420053471307,2.897044982528098,2.9556651,2.9556651,2.9556651
1085_2022-11-01,1.245083159810407,1.2441588600366005,1.2441588600366005,1.4929726844348892,1.4121,1.4121,1.4121
1087_2022-11-01,1.7920925853441934,1.7914255546389086,1.7914255546389086,1.92572816531502,1.8822141,1.8822141,1.8822141
1089_2022-11-01,6.451916033752351,6.379065090531347,6.379065090531347,6.648436968327469,6.5793228,6.5793228,6.5793228
1091_2022-11-01,1.3857114627590297,1.386586469344203,1.386586469344203,1.354483349746056,1.3613777,1.3613777,1.3613777
1093_2022-11-01,1.6006744281132252,1.491229243265608,1.491229243265608,1.6885800132715707,1.6310794,1.6310794,1.6310794
1095_2022-11-01,2.6186437959673947,2.6191715079089914,2.6191715079089914,2.78435201851909,2.7775466,2.7775466,2.7775466
1097_2022-11-01,4.02584400245609,3.848585484080236,3.848585484080236,4.02584400245609,4.1089792,4.1089792,4.1089792
1099_2022-11-01,1.0320838700614483,1.0301635638885147,1.0301635638885147,1.1267168051097447,1.0884768,1.0884768,1.0884768
1101_2022-11-01,4.73546745246401,4.748696220808911,4.748696220808911,4.785876312446623,4.7827415,4.7827415,4.7827415
1103_2022-11-01,2.860369937862421,2.860369937862421,2.860369937862421,3.2924845990489304,3.0141246,3.0141246,3.0141246
1105_2022-11-01,0.6262007583069901,0.6949680893462569,0.6949680893462569,0.3622935117075094,0.64111501,0.64111501,0.64111501
1107_2022-11-01,0.7511599840455457,0.6907047164812469,0.6907047164812469,0.8030153527934866,0.7700907,0.7700907,0.7700907
1109_2022-11-01,1.860554170473144,1.860554170473144,1.860554170473144,1.9785838,1.9785838,1.9785838,1.9785838
1111_2022-11-01,5.217646065696657,2.7514033520365038,2.7514033520365038,6.535411770292039,5.3465791,5.3465791,5.3465791
1113_2022-11-01,2.390219245780892,2.385467109850444,2.385467109850444,2.610281825217984,2.5342948,2.5342948,2.5342948
1115_2022-11-01,2.8964665979344986,2.8964665979344986,2.8964665979344986,2.9912791,2.9912791,2.9912791,2.9912791
1117_2022-11-01,7.403216668199263,7.401299567686728,7.401299567686728,7.805600880187233,7.504106,7.504106,7.504106
1119_2022-11-01,0.99756134740928,0.9942698843879164,0.9942698843879164,1.0313357957720255,1.0226156,1.0226156,1.0226156
1121_2022-11-01,1.6858356557875247,1.6453929999480157,1.6453929999480157,1.6858356557875247,1.7200766,1.7200766,1.7200766
1123_2022-11-01,3.2445942317373944,3.385459004574185,3.385459004574185,4.603387259431604,3.9135587,3.9135587,3.9135587
1125_2022-11-01,5.238757384052742,5.238757384052742,5.238757384052742,4.086936,4.086936,4.086936,4.086936
1127_2022-11-01,1.5709517094523862,1.5707273368291492,1.5707273368291492,1.6423001185475716,1.6231347,1.6231347,1.6231347
1129_2022-11-01,0.9161449937761664,0.9172378024443804,0.9172378024443804,0.9566240044032104,0.94889945,0.94889945,0.94889945
1131_2022-11-01,1.0828695292304444,1.0400687062032796,1.0400687062032796,1.2112860740320346,1.1442786,1.1442786,1.1442786
1133_2022-11-01,1.6490222464038606,1.4914958457800076,1.4914958457800076,8.771238139027952,3.5551553,3.5551553,3.5551553
2013_2022-11-01,1.075807461778474,1.075807461778474,1.075807461778474,0.88255262,0.88255262,0.88255262,0.88255262
2016_2022-11-01,1.2891706580287474,1.286368797228127,1.286368797228127,1.2150127411933207,1.2577276,1.2577276,1.2577276
2020_2022-11-01,6.662977799148702,6.662977799148702,6.662977799148702,6.8323822,6.8323822,6.8323822,6.8323822
2050_2022-11-01,0.7820270787479804,0.7501325471289859,0.7501325471289859,0.85920882,0.85920882,0.85920882,0.85920882
2060_2022-11-01,13.398589429524012,13.519119143202133,13.519119143202133,12.003568753051098,12.080537,12.080537,12.080537
2068_2022-11-01,14.22186798746523,14.235482073169452,14.235482073169452,13.831057137915296,13.96075,13.96075,13.96075
2070_2022-11-01,1.764112948420472,1.7610118674322428,1.7610118674322428,1.6878738004230138,1.7099056,1.7099056,1.7099056
2090_2022-11-01,4.025945915681339,4.121730082288909,4.121730082288909,3.8048701476385136,3.9239032,3.9239032,3.9239032
2100_2022-11-01,5.932375229576754,6.433853906517223,6.433853906517223,5.053513569519356,5.390995,5.390995,5.390995
2105_2022-11-01,5.137720541196255,5.140426635534369,5.140426635534369,4.967744467065029,4.951561,4.951561,4.951561
2110_2022-11-01,3.9406691616396343,3.937432960535468,3.937432960535468,4.054934052951151,3.9851053,3.9851053,3.9851053
2122_2022-11-01,5.535251700033431,5.491304559717331,5.491304559717331,5.529877726525518,5.6290445,5.6290445,5.6290445
2130_2022-11-01,5.745259287574973,5.575885686218704,5.575885686218704,5.954684621402508,5.8247948,5.8247948,5.8247948
2150_2022-11-01,2.8944464838238564,2.8944464838238564,2.8944464838238564,2.7874913,2.7874913,2.7874913,2.7874913
2164_2022-11-01,2.717058781901293,2.7397556019881906,2.7397556019881906,4.665328945452918,4.0697675,4.0697675,4.0697675
2170_2022-11-01,5.53537132786368,5.53537132786368,5.53537132786368,5.7733874,5.7733874,5.7733874,5.7733874
2180_2022-11-01,1.7057412484550716,1.7068056973256502,1.7068056973256502,1.5887652708998727,1.6190622,1.6190622,1.6190622
2185_2022-11-01,1.3602718553038218,1.4100187556597314,1.4100187556597314,1.2711770588631592,1.3205631,1.3205631,1.3205631
2188_2022-11-01,0.4401149541015871,0.4413557013303573,0.4413557013303573,0.4547595238225045,0.46333602,0.46333602,0.46333602
2195_2022-11-01,2.94789659034207,2.94789659034207,2.94789659034207,3.1261494,3.1261494,3.1261494,3.1261494
2198_2022-11-01,3.416932659512628,3.292235367443514,3.292235367443514,3.3593346682470213,3.5217035,3.5217035,3.5217035
2220_2022-11-01,6.526463002865356,6.518084364208471,6.518084364208471,6.462601824704779,6.198102,6.198102,6.198102
2230_2022-11-01,7.494619668641444,7.494619668641444,7.494619668641444,6.4285712,6.4285712,6.4285712,6.4285712
2240_2022-11-01,3.890861594226745,3.756070545358202,3.756070545358202,2.329001511761668,4.0007882,4.0007882,4.0007882
2275_2022-11-01,4.710710509277809,4.706936694213424,4.706936694213424,6.371109518061889,5.4911838,5.4911838,5.4911838
2282_2022-11-01,4.376703077956411,3.798522298844956,3.798522298844956,5.115388525506028,4.5553145,4.5553145,4.5553145
2290_2022-11-01,2.7756602853765626,2.421992547671133,2.421992547671133,3.081421001206704,2.9265742,2.9265742,2.9265742
4001_2022-11-01,4.943021691549124,4.943510897549369,4.943510897549369,4.863301014876983,4.8952913,4.8952913,4.8952913
4003_2022-11-01,3.566203091977996,3.55354721008757,3.55354721008757,3.6807402995815313,3.6642728,3.6642728,3.6642728
4005_2022-11-01,5.996075981027444,5.996075981027444,5.996075981027444,6.1070185,6.1070185,6.1070185,6.1070185
4007_2022-11-01,4.225071925691839,4.225071925691839,4.225071925691839,4.2471848,4.2471848,4.2471848,4.2471848
4009_2022-11-01,1.942644954796356,1.9418082257795712,1.9418082257795712,1.9780791695377355,1.95456,1.95456,1.95456
4011_2022-11-01,1.3188326318499988,1.316259022515972,1.316259022515972,1.3379825627604285,1.3226744,1.3226744,1.3226744
4012_2022-11-01,2.357545284041821,2.392056327614704,2.392056327614704,2.23162978797129,2.2875261,2.2875261,2.2875261
4013_2022-11-01,14.494464658493245,14.345426569000868,14.345426569000868,14.966213023203249,14.87283,14.87283,14.87283
4015_2022-11-01,4.624863171607284,4.607288460496119,4.607288460496119,4.51209253437499,4.7247872,4.7247872,4.7247872
4017_2022-11-01,3.6899323563993343,3.671246851130403,3.671246851130403,3.793458656917669,3.7451751,3.7451751,3.7451751
4019_2022-11-01,6.613095418257197,6.539374477431866,6.539374477431866,6.758478173164678,6.68788,6.68788,6.68788
4021_2022-11-01,4.497610227335278,4.498982911959398,4.498982911959398,4.494448947163684,4.4964161,4.4964161,4.4964161
4023_2022-11-01,4.340535961383528,4.177463416411949,4.177463416411949,4.374393357407596,4.4486971,4.4486971,4.4486971
4025_2022-11-01,9.621048716602193,9.620838430231956,9.620838430231956,9.586072075787651,9.653409,9.653409,9.653409
4027_2022-11-01,2.1697292188051382,2.1697292188051382,2.1697292188051382,2.2309802,2.2309802,2.2309802,2.2309802
5001_2022-11-01,1.599407240432417,1.599169658958201,1.599169658958201,1.7591855438420323,1.7232567,1.7232567,1.7232567
5003_2022-11-01,1.1026021583957453,1.1036448163911037,1.1036448163911037,1.0487153839564465,1.0756869,1.0756869,1.0756869
5005_2022-11-01,3.208975956356605,3.203489147226841,3.203489147226841,3.3078992458095104,3.2900281,3.2900281,3.2900281
5007_2022-11-01,5.893213565327247,5.672649737095513,5.672649737095513,6.166671167602152,6.0781288,6.0781288,6.0781288
5009_2022-11-01,3.096181433849469,3.097484882175791,3.097484882175791,3.235145038052716,3.2066753,3.2066753,3.2066753
5011_2022-11-01,1.021686027505695,1.025066477860051,1.025066477860051,0.9765490830608688,0.98913175,0.98913175,0.98913175
5013_2022-11-01,0.4149027457493845,0.4173489194303391,0.4173489194303391,0.3495227074851851,0.3576538,0.3576538,0.3576538
5015_2022-11-01,6.068025371894104,5.729534551194596,5.729534551194596,6.344205198466165,6.2551327,6.2551327,6.2551327
5017_2022-11-01,1.1810771554023085,1.133112211513112,1.133112211513112,1.2178619999999998,1.217862,1.217862,1.217862
5019_2022-11-01,2.502893589880213,2.501779803377475,2.501779803377475,2.399380317700182,2.4252803,2.4252803,2.4252803
5021_2022-11-01,0.710785665606291,0.712242677849323,0.712242677849323,0.7393520435931104,0.71836591,0.71836591,0.71836591
5023_2022-11-01,2.459040267126253,2.459040267126253,2.459040267126253,2.7335861,2.7335861,2.7335861,2.7335861
5025_2022-11-01,0.8094856875647212,0.8091410486958357,0.8091410486958357,0.7525304440180995,0.76947737,0.76947737,0.76947737
5027_2022-11-01,1.293315656563584,1.245346326012289,1.245346326012289,1.293315656563584,1.329631,1.329631,1.329631
5029_2022-11-01,2.4956640805716277,2.1331118480638844,2.1331118480638844,2.847480608905329,2.5979662,2.5979662,2.5979662
5031_2022-11-01,3.751458870137576,3.7973323951694713,3.7973323951694713,3.492168378642257,3.7567432,3.7567432,3.7567432
5033_2022-11-01,2.4790544932350853,2.406906456339587,2.406906456339587,2.5564735555968667,2.5179403,2.5179403,2.5179403
5035_2022-11-01,1.69271666256914,1.6944733585110043,1.6944733585110043,1.5604968863393147,1.6020907,1.6020907,1.6020907
5037_2022-11-01,1.5291876070679145,1.5291876070679145,1.5291876070679145,1.6790749,1.6790749,1.6790749,1.6790749
5039_2022-11-01,0.5238105278543947,0.5253597866460488,0.5253597866460488,0.6323664395663291,0.66095036,0.66095036,0.66095036
5041_2022-11-01,0.7765996328259166,0.8137995657316164,0.8137995657316164,0.718737042291469,0.75792909,0.75792909,0.75792909
5043_2022-11-01,0.7844772100026419,0.7844772100026419,0.7844772100026419,0.86767894,0.86767894,0.86767894,0.86767894
5045_2022-11-01,4.075356112641141,4.075356112641141,4.075356112641141,4.1833377,4.1833377,4.1833377,4.1833377
5047_2022-11-01,1.1808084685548237,1.165629551282588,1.165629551282588,1.1808084685548237,1.2105302,1.2105302,1.2105302
5049_2022-11-01,2.1343020074267613,2.1343020074267613,2.1343020074267613,2.7492819,2.7492819,2.7492819,2.7492819
5051_2022-11-01,4.747293320463202,4.74952607762711,4.74952607762711,4.713161465331438,4.7176247,4.7176247,4.7176247
5053_2022-11-01,1.0527376052308104,1.0567845726593317,1.0567845726593317,1.2519514136596093,1.1956137,1.1956137,1.1956137
5055_2022-11-01,2.6376798667852546,4.22712504939528,4.22712504939528,2.3404998838506224,2.3327284,2.3327284,2.3327284
5057_2022-11-01,0.943412788479189,0.9443444735207576,0.9443444735207576,1.0973103731430645,1.062778,1.062778,1.062778
5059_2022-11-01,1.5381746094106905,1.5381746094106905,1.5381746094106905,1.5779538999999998,1.5779539,1.5779539,1.5779539
5061_2022-11-01,1.2312474273889755,1.2202511858758562,1.2202511858758562,1.234123538707086,1.2330582,1.2330582,1.2330582
5063_2022-11-01,1.7740901774176812,1.7769018293897905,1.7769018293897905,1.840648770225264,1.8441404,1.8441404,1.8441404
5065_2022-11-01,1.669202836438717,1.6735630226138405,1.6735630226138405,1.512431098265766,1.576697,1.576697,1.576697
5067_2022-11-01,0.6587432681841632,0.6602582524246732,0.6602582524246732,0.6418330599905839,0.65011823,0.65011823,0.65011823
5069_2022-11-01,1.3058997169055455,1.305996276279664,1.305996276279664,1.4220957314100675,1.4297808,1.4297808,1.4297808
5071_2022-11-01,2.125996245908092,2.127560848862548,2.127560848862548,2.182529217958282,2.1510205,2.1510205,2.1510205
5073_2022-11-01,0.8597661054242838,0.8600263543235596,0.8600263543235596,0.9324332691763448,0.91759956,0.91759956,0.91759956
5075_2022-11-01,1.3080236147676874,1.3103464411575474,1.3103464411575474,1.1502763936443192,1.2029492,1.2029492,1.2029492
5077_2022-11-01,0.6797542893304894,0.673994486406745,0.673994486406745,0.5053470159054283,0.6141668,0.6141668,0.6141668
5079_2022-11-01,0.3506140375991667,0.328287282073494,0.328287282073494,0.3946804403875365,0.37104073,0.37104073,0.37104073
5081_2022-11-01,0.9478076496464292,0.8334418038498482,0.8334418038498482,1.0583257756668671,1.0104166,1.0104166,1.0104166
5083_2022-11-01,1.0483741802942803,1.0483741802942803,1.0483741802942803,1.1575714,1.1575714,1.1575714,1.1575714
5085_2022-11-01,2.896064709399145,2.896064709399145,2.896064709399145,3.0514145,3.0514145,3.0514145,3.0514145
5087_2022-11-01,1.949648148774756,1.9506935681561728,1.9506935681561728,1.9158839889246169,1.9279593,1.9279593,1.9279593
5089_2022-11-01,2.761374125378325,2.5020202013757924,2.5020202013757924,3.10068499841716,2.8865979,2.8865979,2.8865979
5091_2022-11-01,1.7557094262576811,1.7857359376403217,1.7857359376403217,1.6056525021965238,1.7053329,1.7053329,1.7053329
5093_2022-11-01,1.4111612645284133,1.2363257013386195,1.2363257013386195,2.086540795200416,1.5651604,1.5651604,1.5651604
5095_2022-11-01,0.8680105556278829,0.8664145520174886,0.8664145520174886,0.9084756222296808,0.88300222,0.88300222,0.88300222
5097_2022-11-01,2.1005353274536964,2.0997406350876715,2.0997406350876715,2.154967226924132,2.1364009,2.1364009,2.1364009
5099_2022-11-01,0.8156712906422732,0.8156712906422732,0.8156712906422732,0.6737696300000031,0.79912251,0.79912251,0.79912251
5101_2022-11-01,2.350930487323372,2.350325787908526,2.350325787908526,2.411145277580798,2.3947284,2.3947284,2.3947284
5103_2022-11-01,1.2110144756300365,1.2110144756300365,1.2110144756300365,1.3662696,1.3662696,1.3662696,1.3662696
5105_2022-11-01,3.854094885717199,3.920590705568287,3.920590705568287,3.684126139200439,3.8213398,3.8213398,3.8213398
5107_2022-11-01,1.1001613752238657,1.0960499783429178,1.0960499783429178,1.1270802330618246,1.1263431,1.1263431,1.1263431
5109_2022-11-01,1.3522024919632167,1.3522024919632167,1.3522024919632167,1.2247325,1.2247325,1.2247325,1.2247325
5111_2022-11-01,0.956531340852677,0.9410455505493364,0.9410455505493364,0.9342480711981918,0.9735052,0.9735052,0.9735052
5113_2022-11-01,2.0811296428166908,2.0785236532223847,2.0785236532223847,1.970169478271942,2.03777,2.03777,2.03777
5115_2022-11-01,2.56654412569972,2.6135902263507718,2.6135902263507718,2.537021282773062,2.5387185,2.5387185,2.5387185
5117_2022-11-01,0.6774916218404129,0.7824933872681407,0.7824933872681407,0.612769207187853,0.61881191,0.61881191,0.61881191
5119_2022-11-01,6.044603591955042,6.0473781012971,6.0473781012971,6.251307212965813,6.2127175,6.2127175,6.2127175
5121_2022-11-01,1.5302351197489104,1.5306054478267863,1.5306054478267863,1.434854878652092,1.4740222,1.4740222,1.4740222
5123_2022-11-01,0.6037680050672998,0.6043571880056984,0.6043571880056984,0.7277931892956903,0.69503474,0.69503474,0.69503474
5125_2022-11-01,3.578616216542668,3.293245574693181,3.293245574693181,3.754647045443263,3.6217911,3.6217911,3.6217911
5127_2022-11-01,0.6433381657814304,0.6423948589705927,0.6423948589705927,0.4576961159161865,0.51026917,0.51026917,0.51026917
5129_2022-11-01,1.9885622032972063,1.8119754555777612,1.8119754555777612,2.166970184630604,2.0495033,2.0495033,2.0495033
5131_2022-11-01,4.302574597435288,4.302179601790662,4.302179601790662,4.311403441964254,4.336225,4.336225,4.336225
5133_2022-11-01,0.891936578932962,0.8902474555343249,0.8902474555343249,0.8287423129084702,0.84214002,0.84214002,0.84214002
5135_2022-11-01,2.441436659529574,2.494337370451024,2.494337370451024,2.393667641380017,2.4236655,2.4236655,2.4236655
5137_2022-11-01,2.146552626770036,2.146552626770036,2.146552626770036,2.2079208,2.2079208,2.2079208,2.2079208
5139_2022-11-01,1.8172627687063991,1.822584360886712,1.822584360886712,1.8828954683666104,1.8295765,1.8295765,1.8295765
5141_2022-11-01,3.067671307077232,4.662097153551782,4.662097153551782,1.762821146693126,1.8760744,1.8760744,1.8760744
5143_2022-11-01,5.781611731023808,5.781611731023808,5.781611731023808,5.739815400804323,5.7308626,5.7308626,5.7308626
5145_2022-11-01,2.728105889321266,2.728105889321266,2.728105889321266,3.2832804000000007,3.2832804,3.2832804,3.2832804
5147_2022-11-01,1.2999897578785116,1.2978787153203788,1.2978787153203788,1.4012148632129144,1.356132,1.356132,1.356132
5149_2022-11-01,1.2614033254620882,1.2614033254620882,1.2614033254620882,1.3144963,1.3144963,1.3144963,1.3144963
6001_2022-11-01,10.734733533755316,10.734733533755316,10.734733533755316,13.905974991267533,11.616879,11.616879,11.616879
6003_2022-11-01,5.41384114061231,5.41384114061231,5.41384114061231,4.4101434,4.4101434,4.4101434,4.4101434
6005_2022-11-01,11.322801447886471,11.30760167754033,11.30760167754033,13.13061177476861,13.865279,13.865279,13.865279
6007_2022-11-01,6.378607117642965,6.355740805705151,6.355740805705151,6.49435715797475,6.4730306,6.4730306,6.4730306
6009_2022-11-01,6.020626302329184,6.024485717063634,6.024485717063634,5.976356093671582,6.0115151,6.0115151,6.0115151
6011_2022-11-01,2.0735366178077643,2.0750772591237023,2.0750772591237023,1.9523817980026752,2.0092142,2.0092142,2.0092142
6013_2022-11-01,9.156270940509524,9.004477059206872,9.004477059206872,9.412719329620074,9.2619734,9.2619734,9.2619734
6015_2022-11-01,4.288362099364338,4.061349915525394,4.061349915525394,4.532981922512363,4.8780489,4.8780489,4.8780489
6017_2022-11-01,9.954439942628944,9.954439942628944,9.954439942628944,9.985961,9.985961,9.985961,9.985961
6019_2022-11-01,3.794540851087477,3.794526718393549,3.794526718393549,4.043845807228961,3.9791877,3.9791877,3.9791877
6021_2022-11-01,2.497350725596186,2.497906536065043,2.497906536065043,2.37506900278066,2.4259808,2.4259808,2.4259808
6023_2022-11-01,6.297307595992272,6.30203760758661,6.30203760758661,6.855781627009232,6.8666253,6.8666253,6.8666253
6025_2022-11-01,2.0632057613422825,2.0639470823283195,2.0639470823283195,2.200464267256732,2.1683435,2.1683435,2.1683435
6027_2022-11-01,4.977397145083187,5.175187951184903,5.175187951184903,5.038307151024132,4.9479165,4.9479165,4.9479165
6029_2022-11-01,3.5830743364429334,3.438413043829745,3.438413043829745,3.640904021648237,3.6258926,3.6258926,3.6258926
6031_2022-11-01,1.7414949602258452,1.5665743946038526,1.5665743946038526,2.225622555578897,1.8190565,1.8190565,1.8190565
6033_2022-11-01,15.519118249880629,15.52406635819004,15.52406635819004,15.509229384434995,15.46859,15.46859,15.46859
6035_2022-11-01,2.24162671124931,2.322961519104493,2.322961519104493,2.286631737111676,2.341893,2.341893,2.341893
6037_2022-11-01,14.308963498731208,14.308963498731208,14.308963498731208,14.668964,14.668964,14.668964,14.668964
6039_2022-11-01,3.890266064934503,3.3499332799213306,3.3499332799213306,4.1815821409176674,3.9250865,3.9250865,3.9250865
6041_2022-11-01,19.75261812456361,19.758692136544447,19.758692136544447,19.957798356011853,19.915457,19.915457,19.915457
6043_2022-11-01,7.3935818825041535,7.405971167059707,7.405971167059707,7.866081756817578,7.7720208,7.7720208,7.7720208
6045_2022-11-01,6.2415297481663945,6.246434526165315,6.246434526165315,6.4435500258276655,6.4260488,6.4260488,6.4260488
6047_2022-11-01,1.890996404764768,1.89204961571337,1.89204961571337,2.0934707227141325,2.0318038,2.0318038,2.0318038
6049_2022-11-01,2.3840734107268764,2.384435771660952,2.384435771660952,2.5223482889090314,2.4613221,2.4613221,2.4613221
6051_2022-11-01,10.230508671275055,10.277183838700818,10.277183838700818,10.79132601319396,9.9544344,9.9544344,9.9544344
6053_2022-11-01,5.335448640193262,5.340325904327719,5.340325904327719,5.672030192782866,5.5846348,5.5846348,5.5846348
6055_2022-11-01,11.384972007632506,11.44407524827324,11.44407524827324,11.600064841398318,11.430052,11.430052,11.430052
6057_2022-11-01,12.463137823850776,12.460530267858504,12.460530267858504,12.845450655472378,12.735237,12.735237,12.735237
6059_2022-11-01,17.428109848189575,17.079807392513885,17.079807392513885,18.066552160418144,17.562555,17.562555,17.562555
6061_2022-11-01,11.77731652169193,11.735224123608708,11.735224123608708,11.90225841166259,11.854944,11.854944,11.854944
6063_2022-11-01,5.014080778227583,5.014080778227583,5.014080778227583,4.7664623,4.7664623,4.7664623,4.7664623
6065_2022-11-01,6.986485997270534,6.988624469443439,6.988624469443439,7.090741482109944,7.0963316,7.0963316,7.0963316
6067_2022-11-01,7.535524452229597,7.2090599113815585,7.2090599113815585,7.905992655662086,7.6843801,7.6843801,7.6843801
6069_2022-11-01,4.91320932592847,4.677174624183535,4.677174624183535,5.164417265803607,5.0193644,5.0193644,5.0193644
6071_2022-11-01,6.078658431483743,6.0787448366259484,6.0787448366259484,6.219508029823332,6.1921721,6.1921721,6.1921721
6073_2022-11-01,14.010989890778712,14.019370413640765,14.019370413640765,14.791373127551502,14.493998,14.493998,14.493998
6075_2022-11-01,18.477955822089665,18.491266792103087,18.491266792103087,18.542541497502416,18.290621,18.290621,18.290621
6077_2022-11-01,4.051175712722281,3.7553438723944814,3.7553438723944814,4.098831929182617,4.076139,4.076139,4.076139
6079_2022-11-01,11.318503197811571,11.318503197811571,11.318503197811571,11.700664,11.700664,11.700664,11.700664
6081_2022-11-01,11.76056857626267,11.76693197607011,11.76693197607011,11.590840231082238,11.625118,11.625118,11.625118
6083_2022-11-01,10.430457139723789,10.56064652166343,10.56064652166343,10.07525114654166,10.275953,10.275953,10.275953
6085_2022-11-01,11.949755489190986,11.961755044191609,11.961755044191609,11.90964107934834,11.861692,11.861692,11.861692
